source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Web of Science,WOS:001741110600001,10.1016/j.rineng.2026.110406,Review,"Construction robotics: a systematic review of robot types, applications and human robot collaborations","Xu, Yifan; Cheung, Clara; Ng, Ming Shan; Kaltungo, Akilu Yunusa; Ishizawa, Tsukasa; Fujimoto, Kota",2026,,"author_keywords=['Construction robotics', 'Human robot collaboration', 'Occupational safety and health', 'Industry 5.0', 'Technology readiness']",,RESULTS IN ENGINEERING,,wos_dec_rob_be
Web of Science,WOS:001734074300001,10.1016/j.buildenv.2026.114361,Article,Ten questions concerning digital transformation for a circular built environment,"De Wolf, Catherine; Bendiek-Laranjo, Ana; Blum, Clara; Costalonga, Vanessa; Durand-Maniclas, Oceane; Karsan, Zain; Menny, Thibaut; Onalan, Beril; Schwarzkopf, Vanessa; Silvennoinen, Heidi; Vangelova, Silvia; Windapo, Bayonle",2026,,"author_keywords=['Circular construction', 'Digital material banks', 'Building information workflows', 'Computer vision', 'Robotics for deconstruction', 'AI-assisted design']",,BUILDING AND ENVIRONMENT,,wos_dec_rob_be
Web of Science,WOS:001589052000002,10.1016/j.autcon.2025.106548,Article,Automated robotic deconstruction sequence planning from scan-to-BIM data for reinforced concrete structure reuse,"Ostapska, Katarzyna; Hingorani, Ramon; Teclaw, Wojciech; Kaufmann, Fabian; Gradeci, Klodian; Ruther, Petra",2025,,"author_keywords=['Scan-to-BIM', 'Concrete reuse', 'Robotic deconstruction', 'Circular construction']",,AUTOMATION IN CONSTRUCTION,,wos_dec_rob_be
Web of Science,WOS:001511230300001,10.1016/j.scs.2025.106522,Article,Autonomous building material stock estimation using 3D modeling and multilayer perceptron,"Li, Qingxiang; Zhao, Benyun; Wang, Xinyi; Yang, Guidong; Chang, Yuyang; Chen, Xi; Chen, Ben M.",2025,,"author_keywords=['Urban mining', '3D reconstruction', 'Machine learning', 'UAV', 'Circular economy']",,SUSTAINABLE CITIES AND SOCIETY,,wos_dec_rob_be
Web of Science,WOS:001482413900001,10.1016/j.resconrec.2025.108311,Article,A novel computer vision-based approach for autonomous building facade material stock estimation,"Rajaratnam, Dilakshan; Stewart, Rodney A.; Liu, Tingting; Vieira, Abel Silva",2025,,"author_keywords=['Fa & ccedil;ade', 'Building stock', 'Estimation', 'Computer vision', 'Deep learning', 'Circular economy']",,RESOURCES CONSERVATION AND RECYCLING,,wos_dec_rob_be
Web of Science,WOS:001394679100001,10.1016/j.autcon.2024.105947,Article,Digital tool integrations for architectural reuse of salvaged building materials,"Zboinska, Malgorzata A.; Gobel, Frederik",2025,,"author_keywords=['Architectural reuse', 'Salvaged construction materials', 'Digital twins', 'Photogrammetry', 'Robot vision', 'Computer vision', 'Machine learning', 'Robotic fabrication', '3D printing', 'Data-driven toolpath design']",,AUTOMATION IN CONSTRUCTION,,wos_dec_rob_be
Web of Science,WOS:001379960700001,10.1111/radm.12744,Article,"Digital Technologies Enabling Component Reuse in Circular Value Chains: Using Digital Twin, Internet of Things and Robots in Construction and Manufacturing Sectors","Thakuri, Prabhat Kiran; Alkki, Lauri; Aarikka-Stenroos, Leena",2025,,"author_keywords=['circular economy', 'component reuse', 'construction industry', 'digitalisation', 'digital twin', 'IoT', 'manufacturing industry', 'robots', 'value chain']",,R & D MANAGEMENT,,wos_dec_rob_be
Web of Science,WOS:001255052200070,10.1201/9781003023555-70,Proceedings Paper,Enabling circularity in building construction: Experiments with robotically assembled interlocking structures,"Mangliar, L.; Hudert, M.",2022,,author_keywords=[],,STRUCTURES AND ARCHITECTURE: A VIABLE URBAN PERSPECTIVE?,,wos_dec_rob_be
Web of Science,WOS:001691683800019,,Proceedings Paper,Repurposing Material Through Real-Time Point Cloud Reconstruction and Human-Robot Collaboration: Integrating real-time point cloud reconstruction and body detection,"Gong, Yuemin; Li, Yangzhi; Fingrut, Adam",2024,,"author_keywords=['3D Scanning', 'Point Cloud Reconstruction', 'Human', 'Robot Interaction', 'Robotic Construction', 'Kinect Azure DK.']",,"ECAADE 2024 DATA-DRIVEN INTELLIGENCE, VOL 1",,wos_dec_rob_be
Web of Science,WOS:000956891300004,10.3167/fcl.2022.012401,Article,The anthropology of infrastructure The boom and the bubble?,"Buier, Natalia",2023,,"author_keywords=['anthropology of infrastructure', 'historical-geographical materialism', 'infrastructure', 'materialism', 'ontology', 'relationality']",,FOCAAL-JOURNAL OF GLOBAL AND HISTORICAL ANTHROPOLOGY,,wos_dec_rob_be
Web of Science,WOS:000870223800040,10.1007/978-3-031-13249-0_41,Proceedings Paper,"Redefining Material Efficiency Computational Design, Optimization and Robotic Fabrication Methods for Planar Timber Slabs","Schramm, Kristina; Eppinger, Carl; Rossi, Andrea; Braun, Max; Brieden, Matthias; Seim, Werner; Eversmann, Philipp",2023,,"author_keywords=['Material efficiency', 'Timber construction', 'Material layout', 'Robotic additive manufacturing']",,TOWARDS RADICAL REGENERATION,,wos_dec_rob_be
Web of Science,WOS:000670593000005,10.1109/TASE.2021.3069742,Article,Interlocking Block Assembly With Robots,"Zhang, Yinan; Koga, Yotto; Balkcom, Devin",2021,,"author_keywords=['Robots', 'Robotic assembly', 'Layout', 'Shape', 'Robot kinematics', 'Fasteners', 'Buildings', 'Assembly', 'construction', 'interlocking structure', 'manipulation', 'manufacturing', 'material', 'parts handling', 'mechanisms']",,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,,wos_dec_rob_be
Web of Science,WOS:000469518700247,10.3390/su11092699,Article,"Integrated BIM-Parametric Workflow-Based Analysis of Daylight Improvement for Sustainable Renovation of an Exemplary Apartment in Seoul, Korea","Amoruso, Fabrizio M.; Dietrich, Udo; Schuetze, Thorsten",2019,,"author_keywords=['daylight analysis', 'visual comfort', 'BIM-parametric refurbishment workflow']",,SUSTAINABILITY,,wos_dec_rob_be
Web of Science,WOS:000413022000060,10.1007/978-3-319-49058-8_60,Proceedings Paper,Design of Modular Re-configurable Robotic System for Construction and Digital Fabrication,"Vujovic, Milica; Rodic, Aleksandar; Stevanovic, Ilija",2017,,"author_keywords=['Construction robots', 'Digital fabrication', 'Robotic building cell', 'Modular architecture', 'Reconfigurable structures']",,ADVANCES IN ROBOT DESIGN AND INTELLIGENT CONTROL,,wos_dec_rob_be
Web of Science,WOS:000355741200011,10.1002/suco.201400055,Article,Self-repair of thermal cracks in concrete sandwich panels,"Van Tittelboom, Kim; Gruyaert, Elke; De Backer, Pieter; Moerman, Wim; De Belie, Nele",2015,,"author_keywords=['self-healing', 'precast concrete sandwich panel', 'thermal cracks', 'encapsulation', 'polyurethane', 'water-repellent agent', 'building materials', 'construction materials', 'building maintenance', 'refurbishment', 'testing', 'experiments']",,STRUCTURAL CONCRETE,,wos_dec_rob_be
Web of Science,WOS:000265056000010,10.3992/jgb.2.4.130,Article,ENVIRONMENTAL ASPECTS OF USE OF ALUMINIUM FOR PREFABRICATED LIGHTWEIGHT HOUSES: DYMAXION HOUSE CASE STUDY,"Mrkonjic, Katarina",2007,,"author_keywords=['prefabrication', 'aluminium', 'durability', 'dematerialization', 'recycling', 'environmental impact']",,JOURNAL OF GREEN BUILDING,,wos_dec_rob_be
Web of Science,WOS:A1993LD35800007,10.1016/0094-5765(93)90022-O,Article,AN ALUMINUM SALVAGE STATION FOR EXTERNAL TANKS OF THE SPACE-SHUTTLE,"SPENNY, C; VANMATRE, D; HAISLIP, J; LINSCOTT, R; RAYNES, W; SKINNER, M",1993,,author_keywords=[],,ACTA ASTRONAUTICA,,wos_dec_rob_be
