source_db,id,doi,item_type,title,authors,year,abstract,keywords,citedby_count,journal_or_venue,affiliation_country,task
Web of Science,WOS:000304494800004,10.1016/j.autcon.2012.02.007,Article,Genetic algorithm-based steel erection planning model for a construction automation system,"Yoo, Wi Sung; Lee, Hak-Ju; Kim, Dong-In; Kang, Kyung-In; Cho, Hunhee",2012,,"author_keywords=['Construction automation system', 'Bolting robot', 'Genetic algorithm-based repetitive tasks simulation', 'Steel erection']",,AUTOMATION IN CONSTRUCTION,,wos_rob_be
Web of Science,WOS:000301470700020,,Article,Tokyo Sky Tree: Using Pagoda Technology,"Bock, T.; Linner, T.; Miura, S.; Vetter, S.",2012,,author_keywords=[],,BAUINGENIEUR,,wos_rob_be
Web of Science,WOS:000300675300003,10.1007/s11263-011-0473-8,Article,A Comparative Study of Interest Point Performance on a Unique Data Set,"Aanaes, Henrik; Dahl, Anders Lindbjerg; Pedersen, Kim Steenstrup",2012,,"author_keywords=['Benchmark data set', 'Interest point detectors', 'Performance evaluation', 'Object recognition', 'Scene matching']",,INTERNATIONAL JOURNAL OF COMPUTER VISION,,wos_rob_be
Web of Science,WOS:000346513400047,,Proceedings Paper,Automatic Welding Robot System for the Horizontal Position in the Shipyard,"Ko, Sung Hoon; Kim, Jeom Goo; Moon, Hyeong Soon",2012,,"author_keywords=['Automatic welding robot', 'FCAW', 'horizontal position welding', 'shipyard']",,"2012 12TH INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS (ICCAS)",,wos_rob_be
Web of Science,WOS:000214583900005,10.1108/20466091211287146,Article,Eco-labels and willingnessto-pay: a Hong Kong study,"Yau, Yung",2012,,"author_keywords=['Willingness-to-pay', 'Green building', 'Environmental consumerism', 'Eco-label', 'Sustainability', 'Hong Kong', 'Consumer behaviour', 'Sustainable design']",,SMART AND SUSTAINABLE BUILT ENVIRONMENT,,wos_rob_be
Web of Science,WOS:000297160700004,10.1007/s12160-011-9292-y,Article,The Relationship of Physical Activity and the Built Environment within the Context of Self-Determination Theory,"Gay, Jennifer L.; Saunders, Ruth P.; Dowda, Marsha",2011,,"author_keywords=['Physical activity', 'Adults', 'Access', 'Convenience', 'Need satisfaction']",,ANNALS OF BEHAVIORAL MEDICINE,,wos_rob_be
Web of Science,WOS:000292664400004,10.1016/j.jaging.2011.03.005,Article,The vernacular landscape of assisted living,"Roth, Erin G.; Eckert, J. Kevin",2011,,"author_keywords=['Assisted living', 'Built environment', 'Autonomy', 'Privacy', 'Ethnography', 'Public', 'Sociability', 'Place', 'Vernacular', 'Agency', 'Communitas']",,JOURNAL OF AGING STUDIES,,wos_rob_be
Web of Science,WOS:000290218500003,10.1111/j.1467-8667.2010.00691.x,Article,Pose Estimation of Construction Materials Using Multiple ID Devices for Parts and Packets Unification,"Umetani, Tomohiro; Inoue, Kenji; Arai, Tatsuo",2011,,author_keywords=[],,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,,wos_rob_be
Web of Science,WOS:000288406000015,10.1016/j.apenergy.2010.12.061,Article,Potential of autonomous ground-coupled heat pump system installations in Greece,"Michopoulos, A.; Papakostas, K. T.; Kyriakis, N.",2011,,"author_keywords=['Ground source heat pump', 'Ground heat exchanger', 'Hybrid ground source air-conditioning', 'system', 'Autonomous ground source air-conditioning system']",,APPLIED ENERGY,,wos_rob_be
Web of Science,WOS:000218597900006,,Article,People-centered architecture,"Rigolon, Alessandro",2011,,author_keywords=[],,IN BO-RICERCHE E PROGETTI PER IL TERRITORIO LA CITTA E L ARCHITETTURA,,wos_rob_be
Web of Science,WOS:000304018401215,10.4028/www.scientific.net/AMR.250-253.3191,Proceedings Paper,Evolution of Passive technology in Lhasa residential building,"Wang, Fang; Liu, Jia-ping; Chen, Jing; Wang, Deng-jia; Wang, Li-juan",2011,,"author_keywords=['passive technology', 'city house', 'rural traditional house', 'evolution', 'added sun room', 'embedded sun room']",,"ADVANCED BUILDING MATERIALS, PTS 1-4",,wos_rob_be
Web of Science,WOS:000298728900085,10.1016/j.sbspro.2011.05.085,Proceedings Paper,Implication of the Budget Allocation Reduction on Teaching and Learning Process,"Ariffin, Ahmad Kamal; Mustafa, Mohd Marzuki; Idrus, Rosafizah Md; Abdul, Nasrul Amir; Ramli, Nur Farah Liza",2011,,"author_keywords=['budget', 'fund allocation reduction implication', 'teaching and learning process']",,"KONGRES PENGAJARAN DAN PEMBELAJARAN UKM, 2010",,wos_rob_be
Web of Science,WOS:000289495000053,,Proceedings Paper,Entrance Detection of Building Component Based on Multiple Cues,"Kim, Dae-Nyeon; Hoang-Hon Trinh; Jo, Kang-Hyun",2010,,"author_keywords=['Entrance detection', 'building component', 'probabilistic model', 'geometrical characteristics', 'multiple cues']",,ADVANCED INTELLIGENT COMPUTING THEORIES AND APPLICATIONS,,wos_rob_be
Web of Science,WOS:000265171300010,10.1016/j.buildenv.2008.10.009,Article,Development of conceptual model of construction factory for automated construction,"Kim, Dae-Won; An, Sung-Hoon; Cho, Hunhee; Jeong, Jae-Weon; Lee, Bo-Hyeong; Doh, Nakju Lett; Kang, Kyung-In",2009,,"author_keywords=['Automated construction', 'Construction factory', 'Computational fluid dynamics', 'Conceptual model']",,BUILDING AND ENVIRONMENT,,wos_rob_be
Web of Science,WOS:000421879400002,,Article,"THE 1ST INTERNATIONAL THEORETICAL AND PRACTICAL ONLINE-CONFERENCE ""APPLICATION OF NANOTECHNOLOGIES IN CONSTRUCTION INDUSTRY"" (8-9 DESEMBER, 2009)","Gusev, Boris Vladimirovich; Telichenko, Valerij Ivanovich",2009,,"author_keywords=['online-conference', 'nanotechnologies in construction', 'nanodispersed emulsions and suspensions', 'nanotubes', 'nanocoatings', 'nanomodifiers', 'nanoinsulation coatings', 'nanoadditives', 'nanosafety', 'nanoecology']",,NANOTECHNOLOGIES IN CONSTRUCTION-A SCIENTIFIC INTERNET-JOURNAL,,wos_rob_be
Web of Science,WOS:000310759200059,,Article,THE BAPTISTRY OF PARMA FOURTEEN TEXTS (1196-1321),"Jansen, Katherine L.; Drell, Joanna; Andrews, Frances",2009,,author_keywords=[],,MEDIEVAL ITALY: TEXTS IN TRANSLATION,,wos_rob_be
Web of Science,WOS:000276080400142,,Proceedings Paper,Robot-Assisted Rapid Prototyping for Ice Structures,"Barnett, Eric; Angeles, Jorge; Pasini, Damiano; Sijpkes, Pieter",2009,,"author_keywords=['rapid prototyping', 'ice structures']",,"ICRA: 2009 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS 1-7",,wos_rob_be
Web of Science,WOS:000273988800044,,Proceedings Paper,USAR Robot Communication Using ZigBee Technology,"Tsui, Charles; Carnegie, Dale; Pan, Qing Wei",2009,,"author_keywords=['USAR Robots', 'ZigBee', 'Wireless Routing Network', 'Artificial Rubble']",,"PROGRESS IN ROBOTICS, PROCEEDINGS",,wos_rob_be
Web of Science,WOS:000273196000005,,Article,"INTEGRATION OF LARGE DEEP-SEATED, CREEPING MASS MOVEMENTS IN A REGIONAL HAZARD MAP - AN APPROACH TO DETERMINATE IT'S PROBABILITY OF OCCURRENCE","Willerich, Sebastian; Thuro, Kurosch; Mair, Volkmar",2009,,"author_keywords=['accelerating creep', 'mass movement', 'failure relation', 'material law', 'hazard map', 'monitoring']",,AUSTRIAN JOURNAL OF EARTH SCIENCES,,wos_rob_be
Web of Science,WOS:000269688000030,10.1109/ICARA.2000.4803937,Proceedings Paper,Robotic Automation System for Steel Beam Assembly in Building Construction,"Chu, Baeksuk; Jung, Kyungmo; Chu, Youngsu; Hong, Daehie; Lim, Myo-Taeg; Park, Shinsuk; Lee, Sung-Uk; Lee, Yongkwun; Kim, Min Chul; Ko, Kang Ho",2009,,"author_keywords=['construction robot', 'bolting', 'steel beam assembly', 'building construction']",,PROCEEDINGS OF THE FOURTH INTERNATIONAL CONFERENCE ON AUTONOMOUS ROBOTS AND AGENTS,,wos_rob_be
Web of Science,WOS:000255985800007,10.1215/03616878-2008-007,Article,"Advocating for active living on the rural-urban fringe: A case study of planning in the Portland, Oregon, metropolitan area","Adler, Sy; Dobson, Noelle; Fox, Karen Perl; Weigand, Lynn",2008,,author_keywords=[],,JOURNAL OF HEALTH POLITICS POLICY AND LAW,,wos_rob_be
Web of Science,WOS:000253695300007,10.1007/s10514-008-9089-4,Article,"Systems, control models, and codec for collaborative observation of remote environments with an autonomous networked robotic camera","Song, Dezhen; Qin, Ni; Goldberg, Ken",2008,,"author_keywords=['frame selection', 'panorama video', 'networked cameras', 'tele-robot']",,AUTONOMOUS ROBOTS,,wos_rob_be
Web of Science,WOS:000254182800010,10.1016/j.autcon.2007.08.006,Article,Power assist devices for installing plaster panels in construction,"Gonzalez de Santos, P.; Estremera, J.; Garcia, E.; Armada, A.",2008,,"author_keywords=['robotized masonry', 'construction robot', 'material-handling manipulator', 'service robot', 'guided robot']",,AUTOMATION IN CONSTRUCTION,,wos_rob_be
Web of Science,WOS:000257506800096,10.1109/ICSMA.2008.4505566,Proceedings Paper,An end-effector design for h-beam alignment in high-rise building construction,"Bae, Kihyeon; Chu, Baeksuk; Jung, Kyungmo; Lee, Yongkwun; Hong, Deahie; Park, Shinsuk; Lim, Myo-Taeg",2008,,"author_keywords=['high-rise building', 'construction automation', 'H-beam assembly', 'alignment end-effector', 'finite element analysis']",,2008 INTERNATIONAL CONFERENCE ON SMART MANUFACTURING APPLICATION,,wos_rob_be
Web of Science,WOS:000255958100009,10.1108/01439910810868552,Article,CROMSCI: development of a climbing robot with negative pressure adhesion for inspections,"Hillenbrand, C.; Schmidt, D.; Berns, K.",2008,,"author_keywords=['robotics', 'inspection', 'construction materials', 'adhesion']",,INDUSTRIAL ROBOT-THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH AND APPLICATION,,wos_rob_be
